name,abandonment,maintenance.score
rails_meta_tags,0,0.7
squash_ruby,0,0.8
squash_rails,1,0.0
inteltech_sms,1,0.1
ipcat,0,0.6
newrelic-grape,0,1.0
baby-braspag,0,0.5
protected_attributes,0,1.0
metrognome,0,0.7
spamspanify,0,1.0
inflecto,1,0.2
wanikani,0,0.8
ripper-tags,0,1.0
sir-trevor-rails,0,0.5
hacker_term,1,0.4
dropcam,0,0.8
accessibility_core,0,0.9
rails-theme-helper,1,0.0
tempfile_for,1,0.1
provise,1,0.2
fluent-plugin-zabbix,0,0.6
jbundler,0,0.7
simple-pages-rails,1,0.0
instrumentable,1,0.1
fluent-plugin-flatten,0,0.6
feralchimp,0,0.4
humanity,1,0.1
boardgame,1,0.2
active_model-better_errors,1,0.5
better_errors,0,0.9
workers,0,0.9
carrierwave-imageoptimizer,0,0.8
activerecord-define_nils,0,1.0
world,0,1.0
naturally,0,0.9
rails_errors2html,0,1.0
rails_view,0,1.0
lucid,1,0.4
raptorize-rails,1,0.0
translation_center,1,0.7
active_collab,1,0.0
bashcov,0,1.0
open-nlp,1,0.5
grape-entity,0,1.0
typescript-node,0,0.9
hipbot,0,0.8
growthforecast,0,1.0
fulcrum,0,0.9
epp-eis,1,0.4
view_assets,1,0.6
rack-action,0,1.0
resubject,1,0.3
stormpath-sdk,0,0.7
active_filter,1,0.3
storyboard,1,0.1
orchestrated,0,0.3
equatable,0,0.8
simple_gravatar,0,1.0
retina_rails,0,0.6
chef-helpers,1,0.5
frontendeditor,1,0.2
lelylan-rb,0,0.6
rails-observers,0,0.9
csvkit,1,0.1
idem,1,0.2
impala,1,0.3
stat_board,0,0.5
errors-renderer,1,0.1
s3_multipart,1,0.4
json-ld,0,0.5
teamocil,0,0.1
marcosgz-cap-recipe,1,0.0
clipper,0,0.6
mgem,0,1.0
valid_attribute,1,0.9
degu,0,0.5
ranked-model,1,0.0
html_mockup,1,0.2
terminal-table,0,0.6
should_be_faster,1,0.6
new,1,0.2
itu_codes,0,0.9
hazel,0,0.8
anomaly,1,0.7
pillboxr,1,0.2
autocomplete_for,0,0.9
pmap,0,0.8
bindery,1,0.6
powerbar,0,0.9
ar-orderable,1,0.0
arbre,0,1.0
GeoRuby,0,1.0
oga,0,0.4
